table_name,column_name,foreign_table_name,foreign_column_name
fin_adiantamentos,created_by,users,id
fin_creditos,tenant_id,tenants,id
fin_creditos,fornecedor_id,fin_fornecedores,id
fin_creditos,created_by,users,id
fin_utilizacoes,tenant_id,tenants,id
fin_utilizacoes,adiantamento_id,fin_adiantamentos,id
fin_utilizacoes,credito_id,fin_creditos,id
fin_utilizacoes,duplicata_pagar_id,fin_duplicatas_pagar,id
fin_utilizacoes,created_by,users,id
fin_lembretes,tenant_id,tenants,id
fin_lembretes,duplicata_receber_id,fin_duplicatas_receber,id
fin_lembretes,duplicata_pagar_id,fin_duplicatas_pagar,id
markups,tenant_id,tenants,id
regras_preco,tenant_id,tenants,id
produtos_precos,produto_id,produtos,id
produtos_categorias,tenant_id,tenants,id
produtos_categorias,parent_id,produtos_categorias,id
produtos,tenant_id,tenants,id
produtos,categoria_id,produtos_categorias,id
produtos,fornecedor_id,fin_fornecedores,id
produtos,markup_id,markups,id
produtos_variacoes,produto_id,produtos,id
produtos_precos_historico,produto_id,produtos,id
produtos_precos_historico,variacao_id,produtos_variacoes,id
fin_relatorios_config,tenant_id,tenants,id
fin_gateways_config,tenant_id,tenants,id
fin_gateway_transacoes,tenant_id,tenants,id
fin_gateway_transacoes,gateway_id,fin_gateways_config,id
fin_gateway_transacoes,duplicata_receber_id,fin_duplicatas_receber,id
fin_gateway_transacoes,cliente_id,clientes,id
fin_gateway_webhooks,tenant_id,tenants,id
fin_gateway_webhooks,gateway_id,fin_gateways_config,id
fin_gateway_webhooks,transacao_id,fin_gateway_transacoes,id
fin_nf_config,tenant_id,tenants,id
fin_notas_fiscais,tenant_id,tenants,id
fin_notas_fiscais,config_id,fin_nf_config,id
fin_notas_fiscais,duplicata_receber_id,fin_duplicatas_receber,id
fin_notas_fiscais,tomador_id,clientes,id
fin_extratos_bancarios,tenant_id,tenants,id
fin_extratos_bancarios,conta_bancaria_id,fin_contas_bancarias,id
fin_extrato_movimentacoes,tenant_id,tenants,id
fin_extrato_movimentacoes,extrato_id,fin_extratos_bancarios,id
fin_extrato_movimentacoes,receita_id,fin_receitas,id
fin_extrato_movimentacoes,despesa_id,fin_despesas,id
fin_extrato_movimentacoes,duplicata_receber_id,fin_duplicatas_receber,id
fin_extrato_movimentacoes,duplicata_pagar_id,fin_duplicatas_pagar,id
fin_regras_conciliacao,tenant_id,tenants,id
fin_regras_conciliacao,categoria_id,fin_categorias,id
fin_regras_conciliacao,fornecedor_id,fin_fornecedores,id
fin_regras_conciliacao,centro_custo_id,fin_centros_custo,id
fin_comissoes_lotes,tenant_id,tenants,id
fin_duplicatas_recorrentes,tenant_id,tenants,id
fin_duplicatas_recorrentes,fornecedor_id,fin_fornecedores,id
fin_duplicatas_recorrentes,cliente_id,clientes,id
fin_duplicatas_recorrentes,categoria_id,fin_categorias,id
fin_duplicatas_recorrentes,centro_custo_id,fin_centros_custo,id
fin_duplicatas_recorrentes,condicao_pagamento_id,fin_condicoes_pagamento,id
subscriptions,tenant_id,tenants,id
subscriptions,tenant_id,tenants,id
subscriptions,tenant_id,tenants,id
subscriptions,tenant_id,tenants,id
subscriptions,plan_id,plans,id
subscriptions,plan_id,plans,id
subscriptions,plan_id,plans,id
subscriptions,plan_id,plans,id
payment_methods,tenant_id,tenants,id
invoices,tenant_id,tenants,id
invoices,tenant_id,tenants,id
invoices,tenant_id,tenants,id
invoices,tenant_id,tenants,id
invoices,subscription_id,subscriptions,id
invoices,subscription_id,subscriptions,id
invoices,subscription_id,subscriptions,id
invoices,subscription_id,subscriptions,id
transactions,tenant_id,tenants,id
transactions,invoice_id,invoices,id
transactions,payment_method_id,payment_methods,id
leads,tenant_id,tenants,id
leads,tenant_id,tenants,id
leads,tenant_id,tenants,id
leads,tenant_id,tenants,id
conversations,tenant_id,tenants,id
messages,conversation_id,conversations,id
chatbot_configs,tenant_id,tenants,id
chatbot_auto_responses,tenant_id,tenants,id
knowledge_base_articles,tenant_id,tenants,id
security_audit_log,tenant_id,tenants,id
noro_ai_roteiros,tenant_id,tenants,id
noro_ai_artigos,tenant_id,tenants,id
noro_marketing_social_accounts,tenant_id,tenants,id
noro_marketing_social_posts,tenant_id,tenants,id
noro_marketing_email_lists,tenant_id,tenants,id
noro_marketing_email_contacts,tenant_id,tenants,id
noro_marketing_email_contacts,list_id,noro_marketing_email_lists,id
noro_marketing_email_campaigns,tenant_id,tenants,id
noro_marketing_email_campaigns,target_list_id,noro_marketing_email_lists,id
noro_configuracoes,tenant_id,tenants,id
noro_empresa,tenant_id,tenants,id
noro_notificacoes,tenant_id,tenants,id
noro_domains,tenant_id,tenants,id
